Svevo Valerius Ale;Bari, Italy;Altbier / Sticke Alt;Birrificio Svevo;"Draught at ""Salone della Birra Artigianale 2007"" - Milan. Slightly dark yellow color light and fine fizz. Light and homogenous head of short resistance. Fresh and flowery scent with herbaceous and spiced notes which anise and dried malt. Typical taste, bitterish and slightly smooths down. Modest final body with pleasant alcoholic content."
Walking Man Foot Fetish;Stevenson, Washington, United States;Strong Ale - American;Walking Man Brewing;Draught. Called an Imperial Brown. Not much aroma, some caramel, some malt. Full malty flavour with caramel, toasted sugar and cream. Lingering malt and sugar finish. Again Worth a special trip, no. Worth drinking if you find it, yes.
Walking Man Foot Fetish;Stevenson, Washington, United States;Strong Ale - American;Walking Man Brewing;(Old rating discovered in a dusty pile of forgotten notes.) Pours coppery dark amber with an off-white head. Medium body and carbonation. Flowery hop aroma, nutty biscuit taste.
Walking Man Foot Fetish;Stevenson, Washington, United States;Strong Ale - American;Walking Man Brewing;6/30/07 On draught at the Seattle International Beerfest with BrewDad. Aroma is light roast and fruity hop flora forward. Appearance is dark brown, cloudy. Flavor is roast forward, bitter, with low hop citrus character. Mouthfeel is medium bodied with some carb bite. Overall, a bit woody, which normally I wouldn’t object to, but just doesn’t work for this beer.
Walking Man Foot Fetish;Stevenson, Washington, United States;Strong Ale - American;Walking Man Brewing;PIB... Clear, reddish brown color with a frothy head. Sweet aroma of berries and malt. Flavors of hops followed by bitter malt and tart fruit and accented barley. Pretty smooth finish considering the complexity of this brew. It’s beers like this that make Walking Man such an awesome brewery.
Walking Man Foot Fetish;Stevenson, Washington, United States;Strong Ale - American;Walking Man Brewing;An excellent double brown ale from Walking Man. Very rich and roasty caramel malt flavors. Doesn’t go for that cereal tasting malt approach, but more like caramel and chocolate, with an earthy rum-cake flavor. Well balanced witha solid hopping. I’m not sure how strong this beer was, but it went down very easy.
Walking Man Foot Fetish;Stevenson, Washington, United States;Strong Ale - American;Walking Man Brewing;[Taster – Seattle International Beerfest] Wow what a name for a beer. Interesting beer flavor an Imperial Brown. Brown in color with a strong Belgian aroma. Deep in alcohol flavor with a deep porter tendencies. But felt like a strong ale also. Has some strong herbal flavor that where very nice. This was a good drinking beer.
Water Street Balls to the Wall;Port Townsend, Washington, United States;IIPA - Imperial / Double IPA;Water Street Brewing and Alehouse;Sampled at Latona in Seattle, WA--Poured a ruddy, rich amber body with a medium beige head. Bold hops stickiness and caramel malts. Grainy, dry and sweet. Unbalanced, but better than any other beers I’ve had from this brewery.
Water Street Balls to the Wall;Port Townsend, Washington, United States;IIPA - Imperial / Double IPA;Water Street Brewing and Alehouse;Draught at Brouwer’s Café: Dark amber, heavy reddish hues, moderate to large light bege head, hazy, superb lacing. &nbsp Geeze, this beer is quite thick and hazy. &nbsp Somewhat assertive hop nose, grainy malts. &nbsp Seems like it might be a little astringent. &nbsp Fairly strong hop bitterness, mild malt presense, a little grainy and astringent. &nbsp A bit rough on the back side, but otherwise it is quite filling. &nbsp Fairly full bodied and mouthfeel. &nbsp Good cross between an Amber and an IPA, just a little more astringent bitterness than I perfer. &nbsp Still better than I was expecting.
Water Street Balls to the Wall;Port Townsend, Washington, United States;IIPA - Imperial / Double IPA;Water Street Brewing and Alehouse;"Name: Balls to the Whalstrom Date: 10/13/2007 Mode: Draft Source: Brewfest, GABF hazy amber, frothy beige head, sweet caramel malt aroma with lots of citrus and earthy hops, rich caramel malt flavor, lots of earthyness keeps it dry, long bitter finish, Aroma: 7/10; Appearance: 7/10; Flavor: 6/10; Palate: 6/10; Overall: 12/20 Rating: 3.2/5.0 Drinkability: 7/10 Score: **/4"
Water Street Balls to the Wall;Port Townsend, Washington, United States;IIPA - Imperial / Double IPA;Water Street Brewing and Alehouse;GABF 2007: Poured a hazy copper color with an off-white head. The hoppy aroma was sweaty and dirty. Some caramel and cereal malt notes. The flavor was bitter from the front to the back and matched the aroma.. Large dry bitter finish. Light body.
Water Street Balls to the Wall;Port Townsend, Washington, United States;IIPA - Imperial / Double IPA;Water Street Brewing and Alehouse;"GCBF sample. Called ""Balls to the Wahlstrom, Hop Bomb"" as a nod to the BA Bros. (I guess). Dark orange. Minimal head. Enjoyable malt and hoppy nose. Dry light malt body with mouth drying hops. Doesn’t turn out quiet as well as expected."
Water Street Balls to the Wall;Port Townsend, Washington, United States;IIPA - Imperial / Double IPA;Water Street Brewing and Alehouse;Orange brown with no head. Big grapefruit nose some malt. Yep it’s hoppy. Grapefruit and a bitter finish. This beer is really all about the hop. Damn tasty.GCBF.
Water Street Balls to the Wall;Port Townsend, Washington, United States;IIPA - Imperial / Double IPA;Water Street Brewing and Alehouse;Somewhat murky reddish/light brown colour. Big, fresh amarillo nose, like a mountain spring, with some toasty malts in there as well. Really fresh, pithy hops. Dry as a bone. Some malts crackling in there - crystal, Munich and yes they are crackling fresh. Nonetheless, this really is hoppy, like chewing on amarillo.
Water Street Balls to the Wall;Port Townsend, Washington, United States;IIPA - Imperial / Double IPA;Water Street Brewing and Alehouse;"(on tap at Brouwers) This is on the border of IIPA & american strong, but I see it more as the latter due to color & hoppage. deep amber bordering on ruby tones, pleasant head. a little weight in the mouth but not slippery, enough carbonation. I’d like more of this. the hops are very vocal but balanced away from harshness; the malt is robust baramel, with a sting of roasted & a smoked undercurrent."
Water Street Balls to the Wall;Port Townsend, Washington, United States;IIPA - Imperial / Double IPA;Water Street Brewing and Alehouse;(Draught) Sampled at the Great Canadian Beer Festival 2007 in Victoria on September 7th, 2007. Citrus hops. Very strong orange flavour - almost too overpowering and sweet.
Water Street Balls to the Wall;Port Townsend, Washington, United States;IIPA - Imperial / Double IPA;Water Street Brewing and Alehouse;Cloudy orange-maroon firestorm with a light hop nose and a mild hop flavor that is lush and full in mouthfeel.
Rocky River Springfest (German Keller Bier);Cleveland, Ohio, United States;Bock- Heller Bock / Maibock;Rocky River Brewing Co. (OH);Sampled from a growler @ DLD 4/28/2007. Pours a clear dark golden color with a medium off white head. The aroma was citrus and weak caramel malts. The flavor was much like the aroma: light sweet caramel malt and citrus. The body was a bit thin and the finish was on the dry side. Overall, not bad, very drinkable.
Rocky River Springfest (German Keller Bier);Cleveland, Ohio, United States;Bock- Heller Bock / Maibock;Rocky River Brewing Co. (OH);I’m not a huge fan of the American hops in lagers. The dry straw malt can never match up to or balance the citrus and pine harshness of American hops. This beer is no exception. It’s good when paired with the pizza, but on it’s on the flavors clash a bit to me.
Rocky River Springfest (German Keller Bier);Cleveland, Ohio, United States;Bock- Heller Bock / Maibock;Rocky River Brewing Co. (OH);"Date: 4/28/2007 Event: DarkLord Day 2007 Location: Three Floyds Brewing Co. Parking Lot Serving: Sampled from a growler. Tasting Notes Aroma: Light caramel malt and citrus. Appearance: Clear golden color with a beige frothy crown. Flavor: Light caramel malt and juicy citrus. Hints of rye characteristics in the dry and spicy finish (although there probably isn’t any rye in this beer). Palate: Average palate; a little watery here and there. Overall: Very easy to drink. Better than most Heller Bock/Maibock brews..."
Rocky River Springfest (German Keller Bier);Cleveland, Ohio, United States;Bock- Heller Bock / Maibock;Rocky River Brewing Co. (OH);On tap at the brew pub, poured a slightly hazy gold color with a thick white head. Aromas of sweet malts and a bit of bready yeast. Nice flavor, good caramel sweetness with a bitter undertone. Slick mouthfeel and a sweet fininsh. Another nice beer from Rocky River.
The Brewery at Lake Tahoe Nut Brown Ale;South Lake Tahoe, California, United States;Brown Ale;The Brewery at Lake Tahoe;"""decent aroma, and i agree that this is one of their better beers. unfortunately that’s pretty much saying it doesn’t suck, but it’s not worth a trip there. totally let down by this brewery. 10-2010-can’t even say that anymore. 1 dimensional, barely brown (dark tan?) and weak."""
The Brewery at Lake Tahoe Nut Brown Ale;South Lake Tahoe, California, United States;Brown Ale;The Brewery at Lake Tahoe;3oz sample. One of 7 samples tasted while having dinner at the brewpub. I found all 7 to be average or below average with no real standouts. (actual tasting was on 2/15)
The Brewery at Lake Tahoe Nut Brown Ale;South Lake Tahoe, California, United States;Brown Ale;The Brewery at Lake Tahoe;Not much aroma. A pretty nice brown to me because despite the name, it isn’t all that nutty. A bit thin in the finish, but quite drinkable.
The Brewery at Lake Tahoe Nut Brown Ale;South Lake Tahoe, California, United States;Brown Ale;The Brewery at Lake Tahoe;Their best made beer IMO. Perhaps it was the freshest since it’s a seasonal beer? Maybe the others weren’t up to par? At any rate, this was a pretty good brown ale. A dark brown appearance, clear with a fluffy off-white head. Aroma was caramel, buttered pecans, molasses with a toasted bread character too. Mouthfeel was on the thin side. Flavor was clean, malty with a strong molasses sweetness that was pretty overpowering. This was their best creation. Now if they could pull up the rest of their beers we might be talking something good here.
Hoskins Brothers Grandad Toms Porter;Burton-upon-Trent, Staffordshire, England;Porter;Tower Brewery;Cask at The Market Porter. Black with a beige little froth. Coffee and earthy aromas and flavours, some smoked meat. Different, slightly smoked porter.
Hoskins Brothers Grandad Toms Porter;Burton-upon-Trent, Staffordshire, England;Porter;Tower Brewery;Cask, The Ale Wagon, Leicester. Near black with a small head. Aromas are smoky, earthy roast malts with soft berries. Flavours are smooth coffee and chocolate malts with berries and soft spices. OK.
Hoskins Brothers Grandad Toms Porter;Burton-upon-Trent, Staffordshire, England;Porter;Tower Brewery;Cask@Ale Wagon, Leicester. Black beer with a strongish head. The aroma is herbal and malty, and the flavour is herbal, malty and lightly dry. Overall a nice beer.
Hoskins Brothers Grandad Toms Porter;Burton-upon-Trent, Staffordshire, England;Porter;Tower Brewery;Cask conditioned - handpump - Ale Wagon Leicester. A black coloured beer with ah decent off-white head. The aroma is chocolatey and malty but there’s a hint of sourness which does transgress to the taste, but doesn’t spoil the nice chocolate malts too much. Reasonable enough.
Glenwood Canyon Sunlight American Wheat;Glenwood Springs, Colorado, United States;Wheat Ale;Glenwood Canyon Brewing Company;On tap at the brewery. Clear, light gold appearance with a patchy white head. Aroma and flavor of bread, light spice, citrus fruit and light bitter hops. Crisp and easy to drink. A little bland and boring overall.
Glenwood Canyon Sunlight American Wheat;Glenwood Springs, Colorado, United States;Wheat Ale;Glenwood Canyon Brewing Company;ON tap at the brewpub. Pours golden with a long lasting white head and soda-like carbonation. Aroma is of biscuit and wheat malts and hints of lemon. Body is medium and smooth. Taste is wheat malt and some citrus notes. Almost no finish. Just a step above of macro brew.
Glenwood Canyon Sunlight American Wheat;Glenwood Springs, Colorado, United States;Wheat Ale;Glenwood Canyon Brewing Company;The mountains of Colorado harbor many niches, nooks and crannies, within which lie a bounty of hidden mines, towns and even the occasional bakery (Silver Plume). Glenwood Springs is not what you’d call a quaint mountain town, exactly, but it’s not a global tourism destination either. Home to a therapeutic hot springs, it sees its fair share of visitors, and those who do go get a chance to visit the local brewpub: Glenwood Canyon Brewing Company. It is by no means an infamous brewery, or a landmark in craft beer, but it provides better beer to a town with one foot still in the past, and that makes it all the more charming. My family and I ordered a sampler to get a well rounded taste of the offerings, and I came away reasonably impressed, considering my expectations. The American Wheat appeared early on in the sampler, providing a welcome therapy after the depressing efforts of the Glenwood Canyon Brewing Honey Lager. I’m doubtful that a wheat really belongs in a restaurant context. Wheat beers, whether Witbiers or American are exceptional by themselves, isolated, with the drinker’s palate dedicated entirely to the beer. The subtle spices and flavor configurations can only be appreciated without sauces, syrups and seasonings disturbing the precarious silence that a wheat beer demands. Perhaps a salad or a fish dish might be appropriate, but there are too few places at the dining table where a wheat beer can find the proper care and treatment it requires. This American wheat was actually a pre-prandial arrangement, but it’s still coupled to the restaurant that supports the next door brewery, no doubt spoiled by many diners who used it to wash down a rack of intensely flavored ribs. The Sunlight American wheat was a very golden yellow hue, with nary a floating particle in sight, nor any head to speak of. Still, vapor exuded from the half-dollar sized top, pleasant with hints of lemon, but countered by a Frankenstein skunk-flower blend that is more confusing than ill tasting. The taste ditches the bewildering aroma, glazing the tongue with a moderately sweet flavor of refined sugar and the slightest hint of coriander, besides the assumed generic wheatiness. If you can get past the confusing vapors, then you’ll find a solid American wheat with enough to please and no forays into the kinds of excess that harms many American wheats.
Glenwood Canyon Rock Garden Biere de Garde;Glenwood Springs, Colorado, United States;Bière de Garde / de Mars;Glenwood Canyon Brewing Company;The mountains of Colorado harbor many niches, nooks and crannies, within which lie a bounty of hidden mines, towns and even the occasional bakery (Silver Plume). Glenwood Springs is not what you’d call a quaint mountain town, exactly, but it’s not a global tourism destination either. Home to a therapeutic hot springs, it sees its fair share of visitors, and those who do go get a chance to visit the local brewpub: Glenwood Canyon Brewing Company. It is by no means an infamous brewery, or a landmark in craft beer, but it provides better beer to a town with one foot still in the past, and that makes it all the more charming. My family and I ordered a sampler to get a well rounded taste of the offerings, and I came away reasonably impressed, considering my expectations. The Biere de Garde came somewhere around the middle, striking a balance between the light-bodied lagers and pale ales, and the ruddier stout. The name provided no information about the beer’s flavor, aroma, or even its categorical style, so, with a completely mysterious jar of beer in front of me I took a plunge. Evidently, what I had thought was a mystery had turned out to be a familiar friend. The Biere de Garde, for all its veiled, incognito efforts and foreign titling was remarkably similar to New Belgium’s Fat Tire. The body of the beer is a mix of deep and light colors, synthesizing a deep dandelion color, clear and lucid, and a great cream colored head. The aroma, unlike any other beer in the sampler, had a very aged, mature feel to it. It was funky and cheesy, as any good cheese monger’s shop should be, but also skunky, suggesting it had suffered some UV abuse. The aroma is reflected in the taste where the skunkiness prevails over the gourmet flavors. Some of the skunk taste is hidden with an interesting combo of pistachio, peanuts, caramel and brown sugar, though it persists much to the detriment of the brew. A week later I called the brewer to ask what the style was, since it had reminded me of Fat Tire, and he told me it was a “French Farmhouse Ale”, while Fat Tire is classified as an Amber Ale. I know that classifying beers can often mislead, but the Biere de Garde and Fat Tire are very similar in taste, especially with the nutty and skunky flavors dominating the palate. Still, it was a reasonable beer, and was a big hit with the family. We took home a growler that evening and played a rousing pirate board game with it, calling out for hotel glasses of grog and growing ever merrier with each pour and each sunken pewter ship.
Kishu Aoi Junmai Ginjo;Kainan-shi, Wakayama Prefecture, Japan;Saké - Junmai;Heiwa Shuzo Co Ltd;(300 ml bottle from Swedish Systembolaget) Imported to Sweden by Akebono Unlimited. Clear pear color. A bit rancid butter mixed with wood scent. Some fresh pear after a while. Strong vinous buttery taste with some dry wood. Smooth mouthfeel with a fiery alcohol aftertaste. Some pear peals taste as well.
AleWerks 400 Ale;Williamsburg, Virginia, United States;Strong Ale - American;AleWerks Brewing Company;Very woody aroma with lesser hints of maple syrup. Opaque brown, thin head. Maple syrup is much more distinct on the palate. Chocolate syrup is also present. Alcohol is not noticeable, but there is a whiskey note. Holds up surprisingly well after 4 years. I was very fortunate to find this bottle. Not much in the way of hops, but after all this time, I wasn’t expecting any. I usually prefer a hoppier brown, but this was quite good.
AleWerks 400 Ale;Williamsburg, Virginia, United States;Strong Ale - American;AleWerks Brewing Company;Bottle. Pours a murky hazed deep amber brown with a thin head- low carb. Aroma is vege, dms, solvent, light dusty caramel malt, burnt toffee, biscuit, sharp edges turn to a grapeskin, and sour wine. Flavor is more tart notes, vegetal, tannic, grapeskin, moderately sweet brown sugar, then turns tart again with an ashy note and astringent finish. Blech.
AleWerks 400 Ale;Williamsburg, Virginia, United States;Strong Ale - American;AleWerks Brewing Company;Received this in a trade with edmedina. Man, I was really hoping for a good beer here on this one. I was let down. Appearance- Nice dark, amber brown with little to no head and no lacing. Smell-A nice nutty and sweet aroma. Nice hints of roasted malts and caramel. Taste- Horrible! There is this bad sour taste that just ruins this beer. Ugh, this beer became a drain pour. Mouthfeel- Medium body with very little carbonation. Overall- A HUGE disappointment! I really hope the beer went bad and this taste wasn’t intentional. Started off great but then went south! I don’t even think the Jamestown colonists would have consumed this swill.
AleWerks 400 Ale;Williamsburg, Virginia, United States;Strong Ale - American;AleWerks Brewing Company;Deep amber with light tan head and lace. Brown sugar, dough, and a hint of abv on the nose. Roasted malt, sweet malt flavor and a malt bitter finish. Medium bodied but really foamy in the mouth.
AleWerks 400 Ale;Williamsburg, Virginia, United States;Strong Ale - American;AleWerks Brewing Company;Dark brown, frothy beige head. Aroma is slightly funky- molasses, lemon, berry, honey. Taste is bad sweet, lemon, charred biscuit. A little acidic.
AleWerks 400 Ale;Williamsburg, Virginia, United States;Strong Ale - American;AleWerks Brewing Company;Pours a lasting ring of beige head with a copper-brown body. Aromas of brown sugar, roasted, band-aids. Flavor is roasted, toasted, brown sugar, infection. Sour, metallic, wrong. Let me down big time. Was really hoping this beer was gonna be good and right. Thanks Butters!
AleWerks 400 Ale;Williamsburg, Virginia, United States;Strong Ale - American;AleWerks Brewing Company;bottle poured a dark brown in color with a thin head. aroma has dark malts, earth, and some over ripe dark fruit. mouth feel is really thick and light on the carbonation. flavor is richly malted, bitter nuts, and some funk. has not aged so gracefully.
AleWerks 400 Ale;Williamsburg, Virginia, United States;Strong Ale - American;AleWerks Brewing Company;"This smelled really like a nice brown ale, roasty, nutty, cool! Unfortunately the taste was sour but not in a good way. I don;t know if this was intentionally sour or not but it does not work for this beer. Sadly, this beer ended up as a drain pour as I could not drink it. Serving type: bottle Reviewed on: 06-21-2008 01:57:36"
AleWerks 400 Ale;Williamsburg, Virginia, United States;Strong Ale - American;AleWerks Brewing Company;22oz from Once Upon a Vine, Richmond. Nice dark brown pour, almost mahogany with bits of amber in there. Minimal carb, almost looks soupy once it’s in the glass. I was all keyed up for something malty and nutty, but I got a dank, vegetal funk instead. I’m not talking oud bruin, and happy dank. I’m talking infected. Mild yeasty notes are detectable if you’re looking for something palatable and somewhat to style. But there’s some serious oxidation going on to top off the likely infection. Shame, as other ratings seem to suggest the ale is - when healthy - exactly what I’d hoped for and expected. As is: drainpour.
AleWerks 400 Ale;Williamsburg, Virginia, United States;Strong Ale - American;AleWerks Brewing Company;Bottle in trade from Butters. Tall tan head that floats over a clear dark brown body. Coffee dark chocolate malt aroma. Tastes like your typical brown ale with a slightly sour/bitter note in the finish. I would probably pass on this one next time.
Olde Richmond Batch No. 11;Hampton, Virginia, United States;IPA;St. George Brewing Company;June 2010. Sampled at the brewery. Orange/amber color with a white head. Caramel, citrus and malty aromas. Flavors of grass, hops, malt, and tropical fruit. Not bad.
Olde Richmond Batch No. 11;Hampton, Virginia, United States;IPA;St. George Brewing Company;Pours with a small head. Medium lacing on the glass. Orange - copper color (clear). Slightly malty and some nutty flavors, with a touch of clove. This is an English IPA, but the hops are stronger than usual of this type (in a good way) Nice clean finish. Nice surprise :-)
Olde Richmond Batch No. 11;Hampton, Virginia, United States;IPA;St. George Brewing Company;Rating #37 for 2012 5/17/12 Wabi Sabi Petersburg VA. Draft served cold from a Shaker. Very refreshing and crisp aroma of extremely citrusy hops, some wheat, and spice. Copper color 1/2 inch tan head thick wispy lacing. Sweet for an IPA light to medium hop flavor light citrus and vanilla in the finish. Light to medium carbonation finishes a bit dry. Not bad at all would love to try froma bottle
Olde Richmond Batch No. 11;Hampton, Virginia, United States;IPA;St. George Brewing Company;Tap at BP Old Towne. Big soapy, pine, orange, grapefruit hop tones. Clean golden malt body. Rather straightforward IPA, but really well executed. Mellow tropical fruit tones.
Olde Richmond Batch No. 11;Hampton, Virginia, United States;IPA;St. George Brewing Company;Moderate hop aroma. Hazy orange color with a large white head. Light sweet beginning with a resin hop bitter finish
Olde Richmond Batch No. 11;Hampton, Virginia, United States;IPA;St. George Brewing Company;Tap. Not my fave IPA- prefer hop bombs. Golden with thin white head nice lacing. Had trouble with nose- peaches, vanilla, and citrus? Not too sweet, not too bitter. Light.
Olde Richmond Batch No. 11;Hampton, Virginia, United States;IPA;St. George Brewing Company;This 22 oz bottle was courtesy of Strykzone. Pours a color between orange and amber with a good sized light-beige head that left good lacing rings. Nose shows some nice ripe fruit, such as pear and grapefruit. Body is medium and the mouthfeel is creamy any easy to swallow. The flavor is well balanced between the caramel malts and some floral and citrus hops tastes and nice bitterness. The finish is bitter and flavorful. A very well crafted and easy drinking IPA.
Olde Richmond Batch No. 11;Hampton, Virginia, United States;IPA;St. George Brewing Company;Pours hazy copper orange with a nice white head. Aroma is of hops, pine and caramel. Has a pretty mediocre taste, nothing special. Some hops, pine, resin and caramel. Definitely worth the $4, though.
Olde Richmond Batch No. 11;Hampton, Virginia, United States;IPA;St. George Brewing Company;Bomber bought in Harrisonburg, Va. Clear and copper colored. A soapy off white head lasts nicely and leaves sticky lacing. The nose is hard to find and is mostly caramel. The flavor begins with burnt sugary notes and some soggy hops are in there, too. A slow start. The hops grow with warmer temperatures and things smooth out and balance is much better. . They are citrus and floral with some moderate bitterness. The caramel is creamy and brown sugar is tasted. The finish was worth the ride.
Olde Richmond Batch No. 11;Hampton, Virginia, United States;IPA;St. George Brewing Company;Bottle. Pours a pale amber golden color with a longlasting off-white head. Has a fruity malty hoppy aroma with hints of citrus. Sweetish malty hoppy bitter flavor with some soapy hints. Hasa fruity malty hoppy bitter citrus finish.
Orlio Organic Common Ale;South Burlington, Vermont, United States;Blonde Ale / Golden Ale;Magic Hat Brewing Company (Cervecería Costa Rica - FIFCO);Pours gold with a white head. Smells fruity with some toasted malt hints. Tastes breaddy and sweet with a crisp finish.
Orlio Organic Common Ale;South Burlington, Vermont, United States;Blonde Ale / Golden Ale;Magic Hat Brewing Company (Cervecería Costa Rica - FIFCO);Bottle with MaltDawg on 08/16/2008 or sometime shortly afterward since these ratings were lost for a half a year. Clear copper amber body with a small off-white head. Grassy, slightly vegetal aroma. Sweet floral an caramel flavor. Medium body with moderate carbonation
Orlio Organic Common Ale;South Burlington, Vermont, United States;Blonde Ale / Golden Ale;Magic Hat Brewing Company (Cervecería Costa Rica - FIFCO);Poured mediun light amber color. Hop nose, with some maltiness. Descent head with little lacing. Same malt-hop flavorness....Not a huge fan of organic beers, but descent.
Orlio Organic Common Ale;South Burlington, Vermont, United States;Blonde Ale / Golden Ale;Magic Hat Brewing Company (Cervecería Costa Rica - FIFCO);Nice amber color and a fast fading head. The bottle has an abstract dot on it. Mellow aroma that is floral with a little earthy yeast. This is a mildly sweet ale that is not forceful, but is mild and well balanced with some light, perky hops. A tasty organic brew.
Orlio Organic Common Ale;South Burlington, Vermont, United States;Blonde Ale / Golden Ale;Magic Hat Brewing Company (Cervecería Costa Rica - FIFCO);12oz. Bottle: Faint aroma of toasted malts, citrus hops and caramel. Poured orange/amber in color with a small, off-white head that greatly diminished but lasted throughout as a film on top of the beer. Clear. Not sparkling. Flavor is lightly sweet and lightly bitter. Tastes of toasted malts, caramel, hops, brown sugar, and slight citrus. Medium body. Average texture. Average carbonation. Sweet, toasted malt, brown sugar finish.
Orlio Organic Common Ale;South Burlington, Vermont, United States;Blonde Ale / Golden Ale;Magic Hat Brewing Company (Cervecería Costa Rica - FIFCO);Bottle in NYC. Glowing dark gold. Soft, fruity, well balanced beer. Sweet and sour cherries, fine dryness.
Orlio Organic Common Ale;South Burlington, Vermont, United States;Blonde Ale / Golden Ale;Magic Hat Brewing Company (Cervecería Costa Rica - FIFCO);(Bottle). Faint caramel malt aroma. Orange-copper color, tiny off-white head. Flavor seems like an attempt at maltiness and caramel, but really there’s not much of anything. Mostly cardboardy and watery. I like their Black Lager, but this one’s quite bad.
Orlio Organic Common Ale;South Burlington, Vermont, United States;Blonde Ale / Golden Ale;Magic Hat Brewing Company (Cervecería Costa Rica - FIFCO);A single sixer of 12 oz bottles found at local Kroger. Slight aroma of pale malt with a touch of earthy hops and a hint of something vegetal. Clear amber golden with a small white head. Flavor of caramelized malt and sweet tea like hop notes. Medium body with a fairly dry finish. Okay amber ale.
Orlio Organic Common Ale;South Burlington, Vermont, United States;Blonde Ale / Golden Ale;Magic Hat Brewing Company (Cervecería Costa Rica - FIFCO);Bottle. Pours a hazy orange-copper with a big, mostly-lasting, fluffy off-white head. Decent aroma, slightly sweet, of caramel malt, more hops then expected, some fruit and light toastiness. Light, hoppy, fruity flavour, a touch watery, backed by lightly toasted caramel malt and a light bitter finish. Easy to drink. The aftertaste got just a tad iffy after a while though. Medium bodied. Though not amazing or anything this is still much better then I expected and I would easily drink it again.
Orlio Organic Common Ale;South Burlington, Vermont, United States;Blonde Ale / Golden Ale;Magic Hat Brewing Company (Cervecería Costa Rica - FIFCO);Bottle sampled at NFB&WF ’08 at Martha Clara Vineyards. Pours a clear amber. Mild aroma of malt. The flavor starts out with some caramel malt, and is followed by light hops bitterness. Not a bad beer, its just that the flavors kind of lurk in the background and never seem to make a real appearance.
Legend King James Ale;Richmond, Virginia, United States;Brown Ale;Legend Brewing Company;Bottle courtesy of Eepiest. From memory. Nice brown, pretty up the middle, picked up a little molasses with age, still not very sweet though. Legend Brewing is the shit.
Legend King James Ale;Richmond, Virginia, United States;Brown Ale;Legend Brewing Company;Dark brown body with a small tan head. The nose is toffee, molasses, raisins and plums. The flavor is fairly dry with light roast, chocolate, molasses and raisins. Medium body is soft with light carbonation.
Legend King James Ale;Richmond, Virginia, United States;Brown Ale;Legend Brewing Company;22 oz bottle, cellared 6 months. Dark amber brown with a lively, but settling beige head. Nose is wild grapes and mocha, a little dusty. Medium light with mild fizzy carb. Taste is coffee and burnt brown sugar. Finishes with plum and a citric tang.
Legend King James Ale;Richmond, Virginia, United States;Brown Ale;Legend Brewing Company;Bottle, clear dark brown with a light brown head. Light cocoa, caramel in the nose. Flavor has notes of light chocolate, a little toffee and earthy British hops with moderate bitterness level. Watery body with moderate carbonation.
Legend King James Ale;Richmond, Virginia, United States;Brown Ale;Legend Brewing Company;"22oz bottle, courtesy of jasonp. Thanks, Jason! Pours an oily, dark cola color; off-white head with patchy lacing. Nougat and sticky dried fruits in the aroma; some coffee. Medium mouthfeel: coffee and nougat; slightly watery, with a decently chewy malt core; messy and kind of weird, honestly. Medium, nougat and instant coffee finish."
Legend King James Ale;Richmond, Virginia, United States;Brown Ale;Legend Brewing Company;"Poured from a 22 oz. Transparent and reddish sienna brown pour. Aroma suggests wheat biscuits, chocolate, wild rice, and molasses. Tinny hints of maple and caramelized sugar wander in. Taste is of tepid malts, being strangely clean, lightly fruity and generically dull. Wood, honey, maple, and vanilla in that usual montage of dark malt sweetness. Thin palate lacks any kind of liveliness or rich bombast; it couldn’t serve as a refreshing session or as contemplative sipper. Something so uninspired can hardly be expected to inspire. Thanks for sharing, Jason!"
Legend King James Ale;Richmond, Virginia, United States;Brown Ale;Legend Brewing Company;Appears a dark brown with a light tan head that slowly fades out. Scattered lacing is left around the glass. Smell is of roasted nuts, toffee, cream, cocoa, light buttercream, and gentle smoke. Taste is of the aromas with a decent mix in a different but enjoyable flavor. Mouthfeel is medium bodied, creamy, smooth, sugary with mild cocoa bitterness hitting the tongue on the swallow.
Legend King James Ale;Richmond, Virginia, United States;Brown Ale;Legend Brewing Company;Dark brown, nearly black. Rich malty aroma. Strong maltyness that fills the mouth. Roasted, creamy mild body.
Legend King James Ale;Richmond, Virginia, United States;Brown Ale;Legend Brewing Company;"Date: 05/23/2007 Mode: Bottle Source: Tasting clear dark red, dense creamy beige head, drippy lace, sweet milk chocolate aroma, creamy body, rich chocolate flavor, nice butterscotch sweetness blends well with the chocolate, Aroma: 7/10; Appearance: 7/10; Flavor: 6/10; Palate: 7/10; Overall: 11/20 Rating: 3.2/5.0 Drinkability: 7/10 Score: **/4"
Legend King James Ale;Richmond, Virginia, United States;Brown Ale;Legend Brewing Company;Poured a clear deep brown color with a large beige head. The aroma was soapy and floral with mild diacetyl notes. The flavor was lightly malty with a citrus hopmiddle and a roasty finish. Mildly bitter with a semi-dry finish. Light to medium bodied.
Black Lotus Strong Ale;Clawson, Michigan, United States;Belgian Ale - Strong Pale;Black Lotus Brewing Company;Little flat, but another decent addition from this local brewer. A bit of a bitter from a nice finish.
Dorada Michelado;Guatemala City, Guatemala;Pilsener / Pils / Pilsner;Cerveceria Centro Americana;Bottle: Another of these weird beer mixed drinks, can´t taste any beer at all, only tomato juice. Food Pairing: Bloody Mary.
